,Popular_cast,director_name,keywords,movie_genre,movie_id,overview,release_date,title
41,"['Utkarsh Ambudkar', 'Simon Pegg', 'Dominique Jennings', 'Justina Machado', 'Vincent Tong']",['John C. Donkin'],"['ice age', 'snow', 'spin off', 'polar adventure']","['Animation', 'Comedy', 'Adventure', 'Family']",774825.0,The fearless one-eyed weasel Buck teams up with mischievous possum brothers Crash & Eddie as they head off on a new adventure into Buck's home: The Dinosaur World.,2022-01-28,The Ice Age Adventures of Buck Wild
42,"['Scarlett Johansson', 'Reese Witherspoon', 'Debra Wilson', 'Fisher Stevens', 'Taron Egerton']",['Garth Jennings'],"['stage', 'anthropomorphism', 'singing', 'animal']","['Animation', 'Comedy', 'Family', 'Music']",438695.0,"Buster and his new cast now have their sights set on debuting a new show at the Crystal Tower Theater in glamorous Redshore City. But with no connections, he and his singers must sneak into the Crystal Entertainment offices, run by the ruthless wolf mogul Jimmy Crystal, where the gang pitches the ridiculous idea of casting the lion rock legend Clay Calloway in their show. Buster must embark on a quest to find the now-isolated Clay and persuade him to return to the stage.",2021-12-01,Sing 2
43,"['Ryan Reynolds', 'Lucie Guest', 'Zoe Saldana', 'Catherine Keener', 'Mark Ruffalo']",['Shawn Levy'],"['time travel', 'escape', 'explore']","['Action', 'Adventure', 'Comedy', 'Science Fiction']",696806.0,"After accidentally crash-landing in 2022, time-traveling fighter pilot Adam Reed teams up with his 12-year-old self on a mission to save the future.",2022-03-11,The Adam Project
44,"['Dennis Haysbert', 'Dale Dickey', 'Danny Ramirez', 'James Gaylyn', 'Havana Rose Liu']",['Damien Power'],"['based on novel or book', 'winter', 'isolation', 'blizzard', 'child kidnapping', 'college student']","['Horror', 'Thriller']",833425.0,"Stranded at a rest stop in the mountains during a blizzard, a recovering addict discovers a kidnapped child hidden in a car belonging to one of the people inside the building which sets her on a terrifying struggle to identify who among them is the kidnapper.",2022-02-25,No Exit
45,"['Barry Keoghan', 'Bill Skarsgård', 'Richard Madden', 'Angelina Jolie', 'Lia McHugh']",['Chloé Zhao'],"['supernatural', 'superhero', 'based on comic', 'alien', 'super power', 'marvel cinematic universe (mcu)', 'sign languages', 'ancient', 'god-like']","['Science Fiction', 'Action', 'Adventure', 'Fantasy']",524434.0,"The Eternals are a team of ancient aliens who have been living on Earth in secret for thousands of years. When an unexpected tragedy forces them out of the shadows, they are forced to reunite against mankind’s most ancient enemy, the Deviants.",2021-11-03,Eternals
46,"['Adam Demos', 'Victoria Justice', 'Luca Sardelis', 'Lucy Durack', 'Veronica Neave']",['Stuart McDonald'],['sheep ranch'],"['Comedy', 'Romance']",934761.0,"To land a major client, an LA wine exec travels to an Australian sheep station, where she signs on as a ranch hand and hits it off with a rugged local.",2022-05-19,A Perfect Pairing
47,"['Alicia Silverstone', ""Deirdre O'Connell"", 'Danny Chung', 'Jennifer Mudge', 'James Tupper']",['Lê Văn Kiệt'],[],['Thriller'],803114.0,"A couple on a romantic getaway find themselves stranded at sea when a tropical storm sweeps away their villa. In order to survive, they are forced to fight the elements, while sharks circle below.",2022-01-28,The Requin
48,"['Noel Gugliemi', 'William Baldwin', 'Arie Thompson', 'Jack Pearson', 'Bradford Haynes']",['Maximilian Elfeldt'],"['extraterrestrial', 'alien', 'alien attack', 'annihilation', 'world war']","['Science Fiction', 'Action']",919689.0,A mother and son find themselves faced with a brutal alien invasion where survival will depend on discovering the unthinkable truth about the enemy.,2021-12-22,War of the Worlds: Annihilation
49,"['Johnny Depp', 'Penélope Cruz', 'Stephen Graham', 'Sam Claflin', 'Ian McShane']",['Rob Marshall'],"['england', 'spain', 'sea', 'captain', 'mutiny', 'sword', 'prime minister', 'sailing', 'silver', 'ship', 'duke', 'mermaid', 'pirate', 'soldier', 'battle', 'swashbuckler', '18th century', 'aftercreditsstinger', 'blackbeard', '1750s']","['Adventure', 'Action', 'Fantasy']",1865.0,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.",2011-05-14,Pirates of the Caribbean: On Stranger Tides
50,"['Michelle Yeoh', 'Awkwafina', 'Benedict Wong', 'Stephanie Hsu', 'Brie Larson']",['Destin Daniel Cretton'],"['martial arts', 'superhero', 'based on comic', 'mixed martial arts', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe (mcu)', 'stereoscopic', '3d']","['Action', 'Adventure', 'Fantasy', 'Science Fiction']",566525.0,Shang-Chi must confront the past he thought he left behind when he is drawn into the web of the mysterious Ten Rings organization.,2021-09-01,Shang-Chi and the Legend of the Ten Rings
51,"['Johnny Depp', 'Bill Nighy', 'Jonathan Pryce', 'Naomie Harris', 'Keira Knightley']",['Gore Verbinski'],"['witch', 'fortune teller', 'bondage', 'exotic island', 'monster', 'captain', 'east india company', 'compass', 'ship', 'daughter', 'sword fight', 'pirate', 'cannibal', 'swashbuckler', 'kraken', 'aftercreditsstinger', 'based on theme park ride']","['Adventure', 'Fantasy', 'Action']",58.0,Captain Jack Sparrow works his way out of a blood debt with the ghostly Davy Jones to avoid eternal damnation.,2006-07-06,Pirates of the Caribbean: Dead Man's Chest
52,"['Kaya Scodelario', 'Robbie Amell', 'Neal McDonough', 'Hannah John-Kamen', 'Tom Hopper']",['Johannes Roberts'],"['mutant', 'biological weapon', 'quarantine', 'zombie', 'based on video game', 'reboot']","['Horror', 'Action', 'Science Fiction']",460458.0,"Once the booming home of pharmaceutical giant Umbrella Corporation, Raccoon City is now a dying Midwestern town. The company’s exodus left the city a wasteland…with great evil brewing below the surface. When that evil is unleashed, the townspeople are forever…changed…and a small group of survivors must work together to uncover the truth behind Umbrella and make it through the night.",2021-11-24,Resident Evil: Welcome to Raccoon City
53,"['Jenna Ortega', 'Neve Campbell', 'Matthew Lillard', 'Courteney Cox', 'Jack Quaid']","['Matt Bettinelli-Olpin', 'Tyler Gillett']","['attempted murder', 'mask', 'hallucination', 'murder', 'serial killer', 'hospital', 'slasher', 'whodunit', 'killing spree', 'hometown', 'reboot', 'crime spree', 'murder mystery', 'fandom', 'copycat killer', 'murder spree', 'sister sister relationship', 'metacinema', 'retired cop', 'return to hometown']","['Horror', 'Mystery', 'Thriller']",646385.0,"Twenty-five years after a streak of brutal murders shocked the quiet town of Woodsboro, a new killer has donned the Ghostface mask and begins targeting a group of teenagers to resurrect secrets from the town’s deadly past.",2022-01-12,Scream
54,"['Finn Wolfhard', 'Mckenna Grace', 'J.K. Simmons', 'Paul Rudd', 'Carrie Coon']",['Jason Reitman'],"['small town', 'ghostbuster', 'nostalgia', 'afterlife', 'sequel', 'ghost', 'aftercreditsstinger', 'duringcreditsstinger', 'dead grandfather', 'ancient evil', 'otherworldly beings', 'paranormal events', 'father absence', 'ghostbusters']","['Fantasy', 'Comedy', 'Adventure']",425909.0,"When a single mom and her two kids arrive in a small town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind.",2021-11-11,Ghostbusters: Afterlife
55,"['Madeleine Vall', 'Daniel Stisen', 'Olga Kent', 'Natassia Malthe', 'Stanislav Yanevski']",['Fansu Njie'],[],"['Action', 'Thriller']",860623.0,"After civilization succumbs to a deadly pandemic and his wife is murdered, a special forces soldier abandons his duty and becomes a hermit in the Nordic wilderness. Years later, a wounded woman appears on his doorstep. She's escaped from a lab and her pursuers believe her blood is the key to a worldwide cure. He's hesitant to get involved, but all doubts are cast aside when he discovers her pursuer is none other than Commander Stone, the man that murdered his wife some years ago.",2021-10-19,Last Man Down
56,"['Gemma Arterton', 'Ralph Fiennes', 'Rhys Ifans', 'Matthew Goode', 'Harris Dickinson']",['Matthew Vaughn'],"['london, england', 'spy', 'world war i', 'based on comic', 'secret service', 'world domination', '1910s', '源起']","['Action', 'Adventure', 'Thriller', 'War', 'Mystery']",476669.0,"As a collection of history's worst tyrants and criminal masterminds gather to plot a war to wipe out millions, one man must race against time to stop them.",2021-12-22,The King's Man
57,"['Johnny Depp', 'Zoe Saldana', 'Jonathan Pryce', 'Keira Knightley', 'Jack Davenport']",['Gore Verbinski'],"['exotic island', 'blacksmith', 'east india company', 'gold', 'jamaica', 'skeleton', 'british empire', 'governor', 'pirate', 'swashbuckler', '18th century', 'caribbean sea', 'aftercreditsstinger', 'pirate ship', 'british navy', 'tortuga']","['Adventure', 'Fantasy', 'Action']",22.0,"Jack Sparrow, a freewheeling 18th-century pirate, quarrels with a rival pirate bent on pillaging Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her.",2003-07-09,Pirates of the Caribbean: The Curse of the Black Pearl
58,"['Dennis Quaid', 'Christian Convery', 'Katharine McPhee', 'Queen Latifah', 'Sam Trammell']",['Ray Giarratana'],"['based on novel or book', 'tiger']","['Family', 'Adventure']",793269.0,"When 12-year-old Rob Horton discovers a caged tiger in the woods near his home, his imagination runs wild and life begins to change in the most unexpected ways. With the help of a wise and mysterious maid, Willie May  and the stubborn new girl in school, he must navigate through childhood memories, heartache, and wondrous adventures.",2022-01-21,The Tiger Rising
59,"['Johnny Depp', 'Bill Nighy', 'Jonathan Pryce', 'Naomie Harris', 'Keira Knightley']",['Gore Verbinski'],"['exotic island', 'east india company', ""love of one's life"", 'traitor', 'shipwreck', 'strong woman', 'singapore', 'afterlife', 'sword fight', 'pirate', 'monkey', 'swashbuckler', 'flying dutchman', 'rum', 'sailing ship', 'aftercreditsstinger', 'british navy', 'mass hanging']","['Adventure', 'Fantasy', 'Action']",285.0,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.",2007-05-19,Pirates of the Caribbean: At World's End
60,"['Chosen Jacobs', 'Lexi Underwood', 'Devyn Nekoda', 'John Salley', 'Kolton Stewart']",['Elizabeth Allen Rosenbaum'],['musical'],"['Music', 'Comedy', 'Family']",756187.0,"When El, an aspiring sneaker designer from Queens, meets Kira King, the fiercely independent daughter of legendary basketball star and sneaker tycoon Darius King, sparks fly as the two bond over their mutual affinity for sneakers. With a little nudge from his best friend and a sprinkle of Fairy Godfather magic, El finds the courage to use his talent to pursue his dream of becoming a ‘legit’ sneaker designer in the industry.",2022-05-11,Sneakerella
61,"['James Marsden', 'Lisa Kudrow', 'Jeff Goldblum', 'Alec Baldwin', 'Eva Longoria']",['Tom McGrath'],"['baby', 'boss', 'sequel', 'sibling', 'family', 'stereoscopic', '3d']","['Animation', 'Comedy', 'Adventure', 'Family']",459151.0,The Templeton brothers — Tim and his Boss Baby little bro Ted — have become adults and drifted away from each other. But a new boss baby with a cutting-edge approach and a can-do attitude is about to bring them together again … and inspire a new family business.,2021-07-01,The Boss Baby: Family Business
62,"['Keanu Reeves', 'Jessica Henwick', 'Carrie-Anne Moss', 'Jada Pinkett Smith', 'Neil Patrick Harris']",['Lana Wachowski'],"['artificial intelligence', 'man vs machine', 'prophecy', 'underground world', 'future', 'virtual reality', 'dystopia', 'computer', 'cyberpunk', 'aftercreditsstinger', 'dream world', 'woman director', 'gnosticism']","['Science Fiction', 'Action', 'Adventure']",624860.0,"Plagued by strange memories, Neo's life takes an unexpected turn when he finds himself back inside the Matrix.",2021-12-16,The Matrix Resurrections
63,"['Thom Hallum', 'Lindsey Marie Wilson', 'Billy Blair', 'Colleen Elizabeth Miller', 'Tiffany McDonald']",['Brett Bentman'],"['shark attack', 'bullshark']",['Horror'],938596.0,A hungry shark begins feeding on unsuspecting lake goers in a small Texas town.,2022-02-05,Bull Shark
64,"['Sarah Yarkin', 'John Larroquette', 'Alice Krige', 'Elsie Fisher', 'Moe Dunford']",['David Blue Garcia'],"['texas', 'mass murder', 'sequel', 'murder', 'gore', 'serial killer', 'decapitation', 'leatherface', 'slasher', 'chainsaw', 'massacre', 'cannibal', 'body mutilation', 'reboot', 'gentrification', 'skinning', 'massacres']","['Horror', 'Thriller']",632727.0,"After nearly 50 years of hiding, Leatherface returns to terrorize a group of idealistic influencers who accidentally disrupt his carefully shielded world in a remote Texas town.",2022-02-18,Texas Chainsaw Massacre
65,"['Sam Worthington', 'Zoe Saldana', 'Michelle Rodriguez', 'Sigourney Weaver', 'Stephen Lang']",['James Cameron'],"['culture clash', 'future', 'space war', 'space colony', 'society', 'space travel', 'futuristic', 'romance', 'space', 'alien', 'tribe', 'alien planet', 'marine', 'soldier', 'battle', 'love affair', 'space opera', 'anti war', 'power relations', 'mind and soul', 'speculative fiction']","['Action', 'Adventure', 'Fantasy', 'Science Fiction']",19995.0,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",2009-12-10,Avatar
66,"['Ryan Reynolds', 'Dwayne Johnson', 'Gal Gadot', 'Chris Diamantopoulos', 'Ritu Arya']",['Rawson Marshall Thurber'],"['fbi', 'interpol', 'heist', 'art thief']","['Action', 'Comedy', 'Crime', 'Thriller']",512195.0,"An Interpol-issued Red Notice is a global alert to hunt and capture the world's most wanted. But when a daring heist brings together the FBI's top profiler and two rival criminals, there's no telling what will happen.",2021-11-04,Red Notice
67,"['Zoë Kravitz', 'Robin Givens', 'Jaime Camil', 'Erika Christensen', 'Andrew Daly']",['Steven Soderbergh'],"['seattle, usa', 'agoraphobia', 'mental illness', 'virus', 'covid-19']",['Thriller'],800510.0,"A tech worker with agoraphobia discovers recorded evidence of a violent crime but is met with resistance when she tries to report it. Seeking justice, she must do the thing she fears the most: she must leave her apartment.",2022-02-10,Kimi
68,"['Angus Sampson', 'Hiroyuki Sanada', 'Nathan Jones', 'Mehcad Brooks', 'Tadanobu Asano']",['Simon McQuoid'],"['saving the world', 'magic', 'ninja fighter', 'alternate dimension', 'shaolin monk', 'fighting', 'based on video game', 'martial arts tournament', 'gods', 'hand to hand combat']","['Action', 'Fantasy', 'Adventure']",460465.0,"Washed-up MMA fighter Cole Young, unaware of his heritage, and hunted by Emperor Shang Tsung's best warrior, Sub-Zero, seeks out and trains with Earth's greatest champions as he prepares to stand against the enemies of Outworld in a high stakes battle for the universe.",2021-04-07,Mortal Kombat
69,"['Sienna Guillory', 'Tony Hale', 'John Cleese', 'Jack Whitehall', 'Siobhan Fallon Hogan']",['Walt Becker'],"['based on novel or book', 'giant dog']","['Family', 'Adventure', 'Comedy', 'Fantasy']",585245.0,"As Emily struggles to fit in at home and at school, she discovers a small red puppy who is destined to become her best friend. When Clifford magically undergoes one heck of a growth spurt, becomes a gigantic dog and attracts the attention of a genetics company, Emily and her Uncle Casey have to fight the forces of greed as they go on the run across New York City. Along the way, Clifford affects the lives of everyone around him and teaches Emily and her uncle the true meaning of acceptance and unconditional love.",2021-11-10,Clifford the Big Red Dog
70,"['J.K. Simmons', 'Pete Davidson', 'David Koechner', 'Andrew Morgado', 'Shelby Young']",['Mark A.Z. Dippé'],[],"['Animation', 'Family', 'Comedy']",678287.0,"Great Dane Marmaduke epitomizes the overgrown lapdog, with an irascible streak and a penchant for mischief that is tempered with a deep sense of love and responsibility for his human family, the Winslows. The new animation is set in the world of elite dog shows, rife divas, rivalries and slapstick comedy.",2022-04-28,Marmaduke
71,"['Johnny Knoxville', 'Eric André', 'Steve-O', 'Rachel Wolfson', 'Ehren McGhehey']",['Jeff Tremaine'],[],"['Comedy', 'Documentary', 'Action']",828853.0,"Through outrageous, never-before-seen footage, witness the making of the Jackass crew's last go at wild stunts.",2022-05-20,Jackass 4.5
72,"['Adrien Brody', 'Mykelti Williamson', 'Glenn Fleshler', 'RZA', 'Richie Merritt']",['Paul Solet'],"['new york city', 'gangster', 'garbageman ', 'revenge', 'drug use', 'garbage truck', 'haunted by the past', 'christmas', 'pawn shop']","['Crime', 'Drama', 'Thriller']",689700.0,"Tormented by a past life, garbage man Clean attempts a life of quiet redemption. But when his good intentions mark him a target of a local crime boss, Clean is forced to reconcile with the violence of his past.",2022-01-28,Clean
73,"['Adrien Brody', 'Mykelti Williamson', 'Glenn Fleshler', 'RZA', 'Richie Merritt']",['Paul Solet'],"['new york city', 'gangster', 'garbageman ', 'revenge', 'drug use', 'garbage truck', 'haunted by the past', 'christmas', 'pawn shop']","['Crime', 'Drama', 'Thriller']",939243.0,"Tormented by a past life, garbage man Clean attempts a life of quiet redemption. But when his good intentions mark him a target of a local crime boss, Clean is forced to reconcile with the violence of his past.",2022-01-28,Clean
74,"['Hank Azaria', 'Dan Castellaneta', 'Tress MacNeille', 'Nancy Cartwright', 'Yeardley Smith']",['David Silverman'],"['beer', 'adult animation', 'short film']","['Animation', 'Comedy', 'Fantasy']",877183.0,"The Simpsons host a Disney+ Day party and everyone is on the list… except Homer. With friends from across the service and music fit for a Disney Princess, Plusaversary is Springfield's event of the year.",2021-11-12,The Simpsons in Plusaversary
75,"['Mickey Rourke', 'Jeff Fahey', 'Michael Jai White', 'Brendan Fehr', 'John Enos III']",['Asif Akbar'],[],"['Action', 'Crime', 'Thriller']",753232.0,"An elite DEA agent returns home after a failed mission when his family makes an unexpected discovery in their house – a stash of money worth $3 million. They soon face the danger and threat of a newly released criminal and his crew, who will do whatever it takes to retrieve the money, including kidnap the agent’s daughters. Stakes are high and lives are at risk in this head-to-head battle as the agent stops at nothing to protect his family against the money-hungry criminals.",2022-01-07,The Commando
76,"['Iko Uwais', 'Rhatha Phongam', 'JuJu Chan', 'Pearl Thusi', 'Lewis Tan']",['Roel Reiné'],[],"['Action', 'Crime', 'Fantasy']",890656.0,A revenge mission becomes a fight to save the world from an ancient threat when superpowered assassin Kai tracks a killer to Bangkok.,2022-02-17,Fistful of Vengeance
77,"['Alicia Silverstone', 'Mark Famiglietti', 'Drew Van Acker', 'Stephen Moyer', 'Benjamin Arthur']",['Drew Mylrea'],[],"['Drama', 'Thriller']",789171.0,"The pic is set in the aftermath of an apocalyptic event that forces people into extreme isolation. A father and son, who have been living off grid for 20 years, encounter an outsider who threatens to destroy the utopia they’ve built.",2022-02-04,Last Survivors
78,"['Joey King', 'Kyle Allen', 'Diany Rodriguez', ""Celeste O'Connor"", 'Kim Dickens']",['Arie Posin'],[],"['Romance', 'Science Fiction', 'Drama']",818750.0,"After surviving a car accident that took the life of her boyfriend, a teenage girl believes he's attempting to reconnect with her from the after world.",2022-02-11,The In Between
79,"['Rowan Blanchard', ""Auli'i Cravalho"", 'Tyler Alvarez', 'Isabella Ferreira', 'Megan Mullally']",['Sammi Cohen'],"['love triangle', 'comedian', 'coming of age', 'lgbt athlete', 'lgbt', 'track and field', 'sapphic']","['Comedy', 'Romance']",860159.0,"When an aspiring young artist is forced to join her high school track team, she uses it as an opportunity to pursue the girl she's been harboring a long-time crush on. But she soon finds herself falling for an unexpected teammate and discovers what real love feels like.",2022-04-29,Crush
80,"['Zac Efron', 'Anthony Hayes', 'Susie Porter', 'Andreas Sobik', 'Akuol Ngot']",['Anthony Hayes'],[],"['Thriller', 'Action']",760926.0,"In the not-too-distant future, two drifters traveling through the desert stumble across the biggest gold nugget ever found and the dream of immense wealth and greed takes hold. They hatch a plan to excavate their bounty, with one man leaving to secure the necessary tools while the other remains with the gold. The man who remains must endure harsh desert elements, ravenous wild dogs, and mysterious intruders, while battling the sinking suspicion that he has been abandoned to his fate.",2022-01-13,Gold
81,"['Willem Dafoe', 'Paul Anderson', 'Toni Collette', 'Ron Perlman', 'Bradley Cooper']",['Guillermo del Toro'],"['love triangle', 'based on novel or book', 'infidelity', 'lie', 'carnival', 'supernatural', 'murder', 'mystery', 'fugitive', 'alcoholic', 'grifter', 'carny', 'neo-noir', 'oscar nominated']","['Crime', 'Drama', 'Thriller']",597208.0,An ambitious carnival man with a talent for manipulating people with a few well-chosen words hooks up with a female psychiatrist who is even more dangerous than he is.,2021-12-02,Nightmare Alley
82,"['Johnny Depp', 'Kaya Scodelario', 'Javier Bardem', 'Keira Knightley', 'Golshifteh Farahani']","['Joachim Rønning', 'Espen Sandberg']","['sea', 'ship', 'sequel', 'artifact', 'treasure map', 'pirate', 'period drama', 'monkey', 'swashbuckler', 'ghost', 'caribbean sea', 'trident', 'cướp biển', 'hải tặc']","['Adventure', 'Action', 'Fantasy']",166426.0,"Thrust into an all-new adventure, a down-on-his-luck Capt. Jack Sparrow feels the winds of ill-fortune blowing even more strongly when deadly ghost sailors led by his old nemesis, the evil Capt. Salazar, escape from the Devil's Triangle. Jack's only hope of survival lies in seeking out the legendary Trident of Poseidon, but to find it, he must forge an uneasy alliance with a brilliant and beautiful astronomer and a headstrong young man in the British navy.",2017-05-23,Pirates of the Caribbean: Dead Men Tell No Tales
